iteration,visible_overlap_lag1,tile_overlap_lag1,n_gaussian
292,0.411090,0.239698,112992
293,0.031096,0.436865,112992
294,0.102685,0.372549,112992
295,0.012594,0.315848,112992
296,0.709511,0.670043,112992
297,0.215966,0.490155,112992
298,0.184007,0.403153,112992
299,0.075391,0.353909,112992
300,0.274452,0.539123,112992
301,0.401560,0.391017,113103
302,0.000996,0.463878,113103
303,0.004930,0.376374,113103
304,0.261275,0.360360,113103
305,0.339182,0.421908,113103
306,0.852234,0.711027,113103
307,0.085231,0.511033,113103
308,0.105307,0.460076,113103
309,0.362265,0.462380,113103
310,0.186858,0.262789,113103
311,0.367510,0.400412,113103
312,0.006384,0.375350,113103
313,0.171174,0.436435,113103
314,0.003850,0.466719,113103
315,0.022265,0.414909,113103
316,0.019359,0.467662,113103
317,0.531721,0.476923,113103
318,0.123564,0.652422,113103
319,0.074931,0.696138,113103
320,0.000246,0.239745,113103
321,0.215976,0.503135,113103
322,0.055431,0.504329,113103
323,0.263426,0.241503,113103
324,0.212418,0.636039,113103
325,0.033618,0.323507,113103
326,0.000519,0.534137,113103
327,0.001270,0.585167,113103
328,0.067914,0.335399,113103
329,0.744987,0.708492,113103
330,0.189326,0.538159,113103
331,0.731526,0.614525,113103
332,0.387758,0.529978,113103
333,0.099501,0.521417,113103
334,0.150877,0.370683,113103
335,0.099063,0.525962,113103
336,0.540472,0.629630,113103
337,0.189880,0.514932,113103
338,0.164627,0.507692,113103
339,0.016953,0.420225,113103
340,0.020679,0.298650,113103
341,0.055623,0.665202,113103
342,0.305409,0.456881,113103
343,0.162344,0.358374,113103
344,0.008686,0.297988,113103
345,0.008701,0.298190,113103
346,0.005513,0.513889,113103
347,0.468082,0.241852,113103
348,0.923495,0.761945,113103
349,0.635677,0.426289,113103
350,0.407022,0.507704,113103
351,0.629418,0.203898,113103
352,0.258987,0.386547,113103
353,0.887638,0.774116,113103
354,0.015414,0.409591,113103
355,0.703278,0.567901,113103
356,0.443659,0.529522,113103
357,0.027313,0.680833,113103
358,0.212236,0.539440,113103
359,0.713026,0.326260,113103
360,0.712831,0.252792,113103
361,0.369669,0.392979,113103
362,0.047580,0.439372,113103
363,0.125416,0.416923,113103
364,0.012134,0.412821,113103
365,0.748820,0.612214,113103
366,0.148247,0.567878,113103
367,0.084907,0.427515,113103
368,0.077013,0.293809,113103
369,0.670382,0.453853,113103
370,0.462228,0.688062,113103
371,0.010361,0.265165,113103
372,0.359745,0.474627,113103
373,0.102409,0.540563,113103
374,0.935943,0.787149,113103
375,0.298703,0.387060,113103
376,0.015199,0.339114,113103
377,0.430732,0.509208,113103
378,0.684251,0.723464,113103
379,0.355666,0.394338,113103
380,0.225472,0.265363,113103
381,0.252299,0.241117,113103
382,0.618954,0.642127,113103
383,0.123910,0.476848,113103
384,0.250507,0.510234,113103
385,0.280584,0.415243,113103
386,0.025223,0.294304,113103
387,0.024939,0.362832,113103
388,0.597665,0.451172,113103
389,0.020551,0.331256,113103
390,0.015092,0.520292,113103
391,0.123039,0.460729,113103
392,0.062590,0.433993,113103
393,0.003278,0.316143,113103
394,0.123536,0.346282,113103
395,0.322754,0.272879,113103
396,0.058050,0.383065,113103
397,0.421410,0.484344,113103
398,0.573668,0.348485,113103
399,0.274704,0.481827,113103
400,0.333291,0.246779,113103
401,0.321605,0.222322,113333
402,0.311461,0.253381,113333
403,0.094255,0.306843,113333
404,0.002391,0.268478,113333
405,0.019383,0.342291,113333
406,0.341423,0.537278,113333
407,0.084330,0.508326,113333
408,0.398427,0.399703,113333
409,0.026281,0.320000,113333
410,0.227896,0.539367,113333
411,0.048553,0.396601,113333
412,0.022362,0.231728,113333
413,0.208160,0.401449,113333
414,0.077311,0.439058,113333
415,0.528832,0.460152,113333
416,0.137644,0.344350,113333
417,0.093296,0.464724,113333
418,0.029423,0.305221,113333
419,0.149318,0.315657,113333
420,0.225909,0.313487,113333
421,0.076087,0.664557,113333
422,0.276765,0.488290,113333
423,0.498645,0.467709,113333
424,0.012636,0.302960,113333
425,0.045685,0.352060,113333
426,0.044924,0.392523,113333
427,0.000771,0.261712,113333
428,0.415519,0.443231,113333
429,0.000840,0.434708,113333
430,0.022428,0.301020,113333
431,0.042151,0.451697,113333
432,0.076978,0.407367,113333
433,0.021591,0.678358,113333
434,0.112008,0.472420,113333
435,0.008566,0.518462,113333
436,0.127629,0.452744,113333
437,0.021013,0.391753,113333
438,0.024237,0.295754,113333
439,0.508345,0.500342,113333
440,0.256090,0.298198,113333
441,0.024435,0.718750,113333
442,0.102307,0.402284,113333
443,0.536284,0.564585,113333
444,0.346961,0.410726,113333
445,0.249444,0.478918,113333
446,0.021537,0.370236,113333
447,0.025522,0.479204,113333
448,0.919714,0.691379,113333
449,0.651049,0.488202,113333
450,0.205577,0.345757,113333
451,0.302021,0.255113,113333
452,0.196444,0.239614,113333
453,0.601113,0.554839,113333
454,0.096865,0.381148,113333
455,0.031846,0.396641,113333
456,0.006187,0.701887,113333
457,0.120026,0.517998,113333
458,0.937115,0.839228,113333
459,0.417706,0.464236,113333
460,0.017418,0.420290,113333
461,0.110260,0.316290,113333
462,0.009132,0.285381,113333
463,0.956422,0.950372,113333
464,0.378492,0.438134,113333
465,0.331646,0.464578,113333
466,0.556501,0.576682,113333
467,0.331478,0.586708,113333
468,0.168757,0.603960,113333
469,0.549973,0.460875,113333
470,0.052998,0.416203,113333
471,0.830517,0.679634,113333
472,0.145889,0.525984,113333
473,0.001864,0.356777,113333
474,0.017848,0.479957,113333
475,0.001716,0.436341,113333
476,0.001631,0.456627,113333
477,0.002044,0.495146,113333
478,0.146491,0.347020,113333
479,0.121386,0.330221,113333
480,0.004898,0.281036,113333
481,0.637014,0.718009,113333
482,0.736575,0.495875,113333
483,0.083934,0.734473,113333
484,0.313921,0.380339,113333
485,0.540878,0.614828,113333
486,0.008107,0.256803,113333
487,0.097030,0.424396,113333
488,0.009988,0.387574,113333
489,0.055355,0.503062,113333
490,0.025641,0.481611,113333
491,0.562038,0.536657,113333
492,0.154253,0.607792,113333
493,0.062665,0.402148,113333
494,0.448877,0.514680,113333
495,0.200917,0.409272,113333
496,0.050369,0.410656,113333
497,0.803560,0.708850,113333
498,0.002868,0.391691,113333
