scene,camera,gaussian_id,flat_id,tile_x,tile_y,mean2d,conic_A,conic_B,conic_C,opacity,radius_x,radius_y,depth,aabb_bounds,snugbox_bounds,accutile_selected_range,pixel_x,pixel_y,sigma,gaussian_weight_G,effective_alpha,alpha_threshold,alpha_threshold_ratio,distance_from_threshold,margin_class,image_boundary,ellipse_bbox_boundary,tile_column_boundary,tile_row_boundary
garden,0,7073,1981,240,194,"[1604.384521484375, 5290.45361328125]",3.4421958844177425e-05,3.463930988800712e-05,3.719258893397637e-05,4.675966262817383,2266,2180,2.2326486110687256,"[0, 194, 242, 211]","{""min"": [0, 194], ""max"": [242, 211]}","{""is_y"": true, ""u"": 194, ""v"": 240, ""selected_v_min"": 233, ""selected_v_max_exclusive"": 240, ""snug_min"": [0, 194], ""snug_max"": [242, 211]}",3840,3119,5.546990871429443,0.003899172719981666,0.018232403323054314,0.00392156862745098,4.64926284737885,0.014310834695603333,MATERIAL,False,True,True,False
garden,0,10431,3063,292,124,"[5609.78515625, 1919.495849609375]",1.2412109754222911e-05,-1.519274405836768e-06,8.6957574239932e-05,16.817264556884766,947,358,2.803128957748413,"[291, 97, 325, 143]","{""min"": [291, 97], ""max"": [325, 143]}","{""is_y"": false, ""u"": 292, ""v"": 124, ""selected_v_min"": 113, ""selected_v_max_exclusive"": 125, ""snug_min"": [291, 97], ""snug_max"": [325, 143]}",4687,1984,5.553737163543701,0.0038729562930768626,0.0651325210928917,0.00392156862745098,16.60879287868738,0.06121095246544071,MATERIAL,False,False,False,False
garden,0,24148,7016,66,4,"[1468.6295166015625, 625.42578125]",0.00027921065338887274,-0.00011601475853240117,5.974881423753686e-05,16.919639587402344,454,981,3.925021171569824,"[63, 0, 121, 101]","{""min"": [63, 0], ""max"": [121, 101]}","{""is_y"": false, ""u"": 66, ""v"": 4, ""selected_v_min"": 0, ""selected_v_max_exclusive"": 4, ""snug_min"": [63, 0], ""snug_max"": [121, 101]}",1071,64,5.573559761047363,0.0037969401471650978,0.06424285471439362,0.00392156862745098,16.381927952170372,0.060321286086942635,MATERIAL,False,False,True,False
garden,0,77007,12087,80,203,"[1674.9664306640625, 2942.82421875]",2.4820143153192475e-05,-5.337927177606616e-06,6.753481284249574e-05,16.76790428161621,675,409,2.258960485458374,"[62, 158, 147, 210]","{""min"": [62, 158], ""max"": [147, 210]}","{""is_y"": true, ""u"": 203, ""v"": 80, ""selected_v_min"": 81, ""selected_v_max_exclusive"": 137, ""snug_min"": [62, 158], ""snug_max"": [147, 210]}",1295,3248,5.5612993240356445,0.003843778837357474,0.06445210427045822,0.00392156862745098,16.435286588966846,0.06053053564300724,MATERIAL,False,False,True,False
garden,0,78294,12409,146,69,"[2538.128173828125, 1196.51025390625]",0.0006874557002447546,-0.0009166290983557701,0.0022856511641293764,1.269413948059082,187,103,6.3506879806518555,"[146, 68, 171, 82]","{""min"": [146, 68], ""max"": [171, 82]}","{""is_y"": true, ""u"": 69, ""v"": 146, ""selected_v_min"": 146, ""selected_v_max_exclusive"": 158, ""snug_min"": [146, 68], ""snug_max"": [171, 82]}",2351,1119,5.5756306648254395,0.0037890851857111402,0.004809916950762272,0.00392156862745098,1.2265288224443793,0.0008883483233112915,MATERIAL,False,True,False,False
garden,0,209054,21542,217,184,"[4367.17626953125, 4122.92041015625]",8.216690730478149e-06,-3.292835572210606e-06,8.482113116770051e-06,16.858524322509766,1265,1245,2.3886494636535645,"[193, 179, 325, 211]","{""min"": [193, 179], ""max"": [325, 211]}","{""is_y"": true, ""u"": 184, ""v"": 217, ""selected_v_min"": 218, ""selected_v_max_exclusive"": 270, ""snug_min"": [193, 179], ""snug_max"": [325, 211]}",3487,2959,5.5496344566345215,0.003888878537436526,0.06556076556444168,0.00392156862745098,16.71799521893263,0.0616391969369907,MATERIAL,False,False,True,False
garden,0,316927,29261,208,46,"[403.6831359863281, 6997.193359375]",0.0036408754531294107,0.0017150893108919263,0.0008082028361968696,14.714949607849121,2944,6247,1.963032841682434,"[0, 46, 210, 211]","{""min"": [0, 46], ""max"": [210, 211]}","{""is_y"": true, ""u"": 46, ""v"": 208, ""selected_v_min"": 209, ""selected_v_max_exclusive"": 210, ""snug_min"": [0, 46], ""snug_max"": [210, 211]}",3343,751,5.5533552169799805,0.003874435837959999,0.057012125849723816,0.00392156862745098,14.538092091679573,0.053090557222272836,MATERIAL,False,True,True,False
garden,0,325986,29578,214,122,"[3467.6005859375, 2010.379638671875]",0.001369049190543592,0.0015205576783046126,0.00361283659003675,7.420465469360352,124,76,5.358721733093262,"[208, 120, 225, 131]","{""min"": [209, 120], ""max"": [225, 131]}","{""is_y"": true, ""u"": 122, ""v"": 214, ""selected_v_min"": 215, ""selected_v_max_exclusive"": 225, ""snug_min"": [209, 120], ""snug_max"": [225, 131]}",3439,1967,5.69411039352417,0.0033657300229219794,0.024975283071398735,0.00392156862745098,6.368697183206677,0.021053714443947755,MATERIAL,False,False,True,False
garden,0,350882,31700,310,144,"[6020.62060546875, 2663.365234375]",0.34931880235671997,-1.0208238363265991,2.9832680225372314,5.22923469543457,1047,359,3.930850028991699,"[310, 144, 325, 189]","{""min"": [310, 144], ""max"": [325, 189]}","{""is_y"": false, ""u"": 310, ""v"": 144, ""selected_v_min"": 144, ""selected_v_max_exclusive"": 145, ""snug_min"": [310, 144], ""snug_max"": [325, 189]}",4974,2305,5.5649943351745605,0.0038296022392114866,0.020025894045829773,0.00392156862745098,5.106602981686592,0.016104325418378793,MATERIAL,False,True,False,False
garden,0,736087,86051,115,129,"[2714.702880859375, 3795.968017578125]",9.732551916386e-06,-2.5288893539254786e-06,3.859705429931637e-06,10.295869827270508,1172,1861,3.238182306289673,"[96, 120, 243, 211]","{""min"": [96, 120], ""max"": [243, 211]}","{""is_y"": true, ""u"": 129, ""v"": 115, ""selected_v_min"": 116, ""selected_v_max_exclusive"": 168, ""snug_min"": [96, 120], ""snug_max"": [243, 211]}",1855,2079,5.548689842224121,0.0038925537637058507,0.04007723554968834,0.00392156862745098,10.219695065170527,0.03615566692223736,MATERIAL,False,False,True,False
garden,0,760674,88920,95,135,"[1718.7955322265625, 4310.359375]",5.260443140286952e-05,1.3896111283884238e-07,2.024532477662433e-06,5.387909412384033,460,2341,2.3248300552368164,"[78, 123, 137, 211]","{""min"": [78, 123], ""max"": [137, 211]}","{""is_y"": false, ""u"": 95, ""v"": 135, ""selected_v_min"": 136, ""selected_v_max_exclusive"": 211, ""snug_min"": [78, 123], ""snug_max"": [137, 211]}",1535,2175,5.551588535308838,0.0038812867826782628,0.02091202884912491,0.00392156862745098,5.332567356526852,0.016990460221673928,MATERIAL,False,False,True,False
